TIME("writing propagator","done") = 0.020 secs
TIME("invert","done") = 1.089 secs
TIME("writing propagator","done") = 0.020 secs
TIME("invert","done") = 0.753 secs
TIME("writing propagator","done") = 0.020 secs
TIME("invert","done") = 0.890 secs
TIME("writing propagator","done") = 0.019 secs
TIME("invert","done") = 0.962 secs
TIME("writing propagator","done") = 0.020 secs
TIME("invert","done") = 0.897 secs
TIME("writing propagator","done") = 0.019 secs
TIME("invert","done") = 0.752 secs
TIME("writing propagator","done") = 0.020 secs
TIME("invert","done") = 0.873 secs
TIME("writing propagator","done") = 0.020 secs
TIME("invert","done") = 1.008 secs
TIME("writing propagator","done") = 0.015 secs
TIME("invert","done") = 0.803 secs
TIME("writing propagator","done") = 0.020 secs
TIME("invert","done") = 1.097 secs
TIME("writing propagator","done") = 0.020 secs
TIME("invert","done") = 0.742 secs
TIME("writing propagator","done") = 0.020 secs
TIME("invert","done") = 1.084 secs
TIME("writing propagator","done") = 0.020 secs
TIME("invert","done") = 0.683 secs
TIME("writing propagator","done") = 0.015 secs
TIME("invert","done") = 1.074 secs
TIME("writing propagator","done") = 0.020 secs
TIME("invert","done") = 0.796 secs
TIME("writing propagator","done") = 0.015 secs
TIME("invert","done") = 1.054 secs
TIME("writing propagator","done") = 0.020 secs
TIME("invert","done") = 0.785 secs
TIME("writing propagator","done") = 0.019 secs
TIME("invert","done") = 0.992 secs
TIME("writing propagator","done") = 0.020 secs
TIME("stochastic oet contract timer","done") = 354.286 secs
TIME("invert","done") = 1.037 secs
TIME("writing propagator","done") = 0.020 secs
TIME("invert","done") = 0.928 secs
TIME("writing propagator","done") = 0.024 secs
TIME("invert","done") = 1.020 secs
TIME("writing propagator","done") = 0.019 secs
TIME("invert","done") = 0.847 secs
TIME("writing propagator","done") = 0.020 secs
TIME("invert","done") = 0.760 secs
TIME("writing propagator","done") = 0.016 secs
TIME("invert","done") = 0.976 secs
TIME("writing propagator","done") = 0.021 secs
TIME("invert","done") = 0.878 secs
TIME("writing propagator","done") = 0.019 secs
TIME("invert","done") = 1.032 secs
TIME("writing propagator","done") = 0.020 secs
TIME("invert","done") = 1.072 secs
TIME("writing propagator","done") = 0.020 secs
TIME("invert","done") = 0.740 secs
TIME("writing propagator","done") = 0.015 secs
TIME("invert","done") = 1.065 secs
